student_id,minutes_watched,paid_in_q2
270045,22.1667,0
270052,0.4667,0
270088,0.4667,0
270108,2.55,0
270111,5.95,0
270132,0.2,0
270152,0.4667,0
270162,8.2667,0
270173,2.8667,0
270181,0.4167,0
270186,7.25,0
270216,7.8667,0
270226,0.4167,0
270253,10.1,0
270268,0.05,0
270278,34.05,0
270283,0.1333,0
270284,0.1,0
270301,1.05,0
270302,36.05,0
270350,6.6333,0
270353,0.2167,0
270356,28.5833,0
270364,42.55,0
270366,0.55,0
270384,40.7333,0
270395,43.3667,0
270407,35.9167,0
270414,87.1,0
270418,2.85,0
270426,37.7667,0
270467,42.15,0
270472,5.1167,0
270491,8.8,0
270493,1.3833,0
270496,81.7833,0
270511,0.5167,0
270514,8.3833,0
270525,0.5,0
270527,0.3667,0
270534,0.4833,0
270554,10.6167,0
270559,0.3,0
270570,1.1333,0
270575,6.8,0
270579,0.1167,0
270581,0.3667,0
270583,0.1333,0
270592,5.4667,0
270597,10.6833,0
270600,1.1,0
270611,0.3333,0
270615,8.45,0
270643,0.0833,0
270646,6.5667,0
270666,0.8,0
270679,11.3,0
270681,3.95,0
270690,6.75,0
270718,3.7667,0
270722,15.1,0
270736,0.9833,0
270771,13.1167,0
270776,0.2167,0
270787,84.5,0
270792,1.1667,0
270797,15.1667,0
270799,35.4667,0
270812,2.3833,0
270817,4.45,0
270820,0.9333,0
270855,39.65,0
270862,16.2667,0
270865,32.4,0
270870,0.15,0
270900,18.4333,0
270919,6.5167,0
270922,6.9,0
270926,4.75,0
270927,43.8667,0
270937,19.4333,0
270964,42.6,0
270979,6.0833,0
270980,0.3167,0
270991,0.3667,0
270996,11.8167,0
271022,7.9333,0
271056,3.2333,0
271061,1.6833,0
271068,18.6333,0
271072,5.0333,0
271101,127.65,0
271104,1.2,0
271119,44.45,0
271144,51.7167,0
271145,1.2,0
271146,6.1833,0
271152,0.4167,0
271170,23.1,0
271201,0.1167,0
271217,18.8833,0
271237,24.9,0
271244,3.0333,0
271255,7.2,0
271259,1.7167,0
271265,9.8667,0
271280,55.4167,0
271283,38.05,0
271286,38.2167,0
271291,39.5333,0
271293,57.1667,0
271303,1.2167,0
271307,11.1667,0
271315,4.5,0
271330,6.0667,0
271335,54.3,0
271346,0.7333,0
271350,0.05,0
271353,41.4667,0
271354,6.55,0
271362,0.1167,0
271363,54.9333,0
271365,21.8167,0
271379,0.4333,0
271391,1.1667,0
271407,36.0167,0
271409,0.05,0
271416,30.5833,0
271432,56.9,0
271434,116.3667,0
271441,39.75,0
271445,7.0833,0
271456,0.55,0
271520,13.3667,0
271529,0.0833,0
271538,29.2333,0
271540,38.35,0
271548,64.35,0
271555,2.3167,0
271580,0.5833,0
271594,91.45,0
271598,101.0,0
271600,6.6667,0
271607,1.8667,0
271610,0.7667,0
271618,103.45,0
271633,0.3167,0
271642,0.75,0
271643,20.2833,0
271645,0.05,0
271668,0.2667,0
271673,15.6667,0
271679,7.0833,0
271680,17.8,0
271681,4.45,0
271684,0.8167,0
271688,16.6167,0
271691,5.7333,0
271711,51.3667,0
271726,2.8667,0
271818,0.85,0
271819,1.6667,0
271828,27.9167,0
271841,0.7833,0
271842,10.4167,0
271855,2.9333,0
